address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y,tags
서울 마포구 신정동 28-2,FD6,음식점,음식점 > 샤브샤브 > 채선당,,10763499,02-704-5004,채선당 광흥창점,http://place.map.kakao.com/10763499,서울 마포구 창전로 20,126.930562418509,37.5445456700197,"cozy, social, healthy options"
서울 마포구 구수동 68-12,FD6,음식점,음식점 > 한식,,1065787731,02-3272-8273,마미,http://place.map.kakao.com/1065787731,서울 마포구 토정로14길 12,126.932433807492,37.5447954313915,"authentic, comfort food, fast service"
서울 마포구 구수동 68-13,FD6,음식점,"음식점 > 술집 > 호프,요리주점",,1989279044,010-3864-8503,박연식당,http://place.map.kakao.com/1989279044,서울 마포구 토정로14길 16,126.932431635426,37.5446945182472,"casual, drinks, nightlife"
서울 마포구 구수동 84-1,FD6,음식점,음식점 > 한식,,76261352,0507-1402-4325,료리점,http://place.map.kakao.com/76261352,서울 마포구 토정로14길 23,126.93240599165198,37.54427103396588,"authentic, comfort food, fast service"
서울 마포구 구수동 68-12,FD6,음식점,음식점 > 아시아음식 > 동남아음식 > 베트남음식,,1840437893,,마포,http://place.map.kakao.com/1840437893,서울 마포구 토정로14길 12,126.93242929259,37.5447828148204,"exotic, flavorful, spicy"
서울 마포구 구수동 68-12,FD6,음식점,음식점 > 양식 > 햄버거,,1111186134,,마랑,http://place.map.kakao.com/1111186134,서울 마포구 토정로14길 12,126.932424758984,37.5447909212181,", great value, outdoor seating"
서울 마포구 신정동 28-2,FD6,음식점,음식점 > 술집 > 칵테일바,,24324052,02-714-8553,바드다드 카페,http://place.map.kakao.com/24324052,서울 마포구 창전로 20,126.930634805464,37.544581752529,", romantic, great value"
서울 마포구 신정동 28-2,FD6,음식점,"음식점 > 한식 > 찌개,전골",,13294323,,시골밥상두부김치찜,http://place.map.kakao.com/13294323,서울 마포구 창전로 20,126.930639331738,37.5445817551878,"authentic, comfort food, vegetarian options"
서울 마포구 신수동 380-3,FD6,음식점,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",,1884425393,02-711-6551,사고네연탄불고기,http://place.map.kakao.com/1884425393,서울 마포구 토정로 212,126.93436874785245,37.54485058263396,"authentic, comfort food, vegetarian options"
서울 마포구 신수동 390,FD6,음식점,"음식점 > 한식 > 해물,생선 > 아구",,485644831,02-783-3111,국보군산아구찜,http://place.map.kakao.com/485644831,서울 마포구 신수로 34-1,126.93445940775683,37.54469746313686,"authentic, comfort food, romantic"
서울 마포구 신수동 380-9,FD6,음식점,음식점 > 분식,,15839589,02-706-3386,김밥천국 신수사거리점,http://place.map.kakao.com/15839589,서울 마포구 토정로 210,126.93408804803389,37.544929714208216,", family-friendly, great value"
서울 마포구 현석동 47,FD6,음식점,음식점 > 분식 > 떡볶이 > 응급실국물떡볶이,,279162141,02-707-2119,응급실국물떡볶이 서울광흥창역점,http://place.map.kakao.com/279162141,서울 마포구 신수로 28,126.934379645142,37.5440369864352,", romantic, great value"
서울 마포구 신수동 387-3,FD6,음식점,음식점 > 한식,,1406285484,02-3144-3134,바위드,http://place.map.kakao.com/1406285484,서울 마포구 토정로 216,126.93479649172691,37.54484000761059,"authentic, comfort food, great value"
서울 마포구 구수동 41-4,FD6,음식점,음식점 > 한식 > 국수 > 칼국수,,13286975,,강나루칼국수,http://place.map.kakao.com/13286975,서울 마포구 토정로 198,126.932884072893,37.5449074120583,"authentic, comfort food, vegetarian options"
서울 마포구 창전동 442,FD6,음식점,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",,1706900559,02-336-9371,옛맛서울불고기 (2024년 5월 예정),http://place.map.kakao.com/1706900559,서울 마포구 창전로 45,126.93171107308716,37.54690335317688,"authentic, comfort food, romantic"
서울 마포구 구수동 57-9,FD6,음식점,음식점 > 중식 > 중국요리,,385106331,02-707-1241,화련,http://place.map.kakao.com/385106331,서울 마포구 창전로 42-1,126.932380492144,37.5461937513285,", great value, family-friendly"
서울 마포구 창전동 150-15,FD6,음식점,음식점 > 치킨,,24066931,02-714-5550,네오치킨&펍,http://place.map.kakao.com/24066931,서울 마포구 창전로 37,126.931869274561,37.5459051378214,", family-friendly, fast service"
