address_name,category_name,place_name,x,y,tags,category,cozy,cheep,walk,friend
서울 마포구 신정동 28-2,음식점 > 샤브샤브 > 채선당,채선당 광흥창점,126.930562418509,37.5445456700197,"cozy, social, healthy options","[' 샤브샤브 ', ' 채선당']","[1.0, 0.10475678, 0.16916254, 0.023920046]","[0.17372674, 0.0744294, 0.13446212, 0.046348408]","[0.13672116, 0.014821317, 0.108431734, 0.04468237]","[0.15522578, 0.0844524, 0.020283777, 0.029084]"
서울 마포구 구수동 68-12,음식점 > 한식,마미,126.932433807492,37.5447954313915,"authentic, comfort food, fast service",[' 한식'],"[0.18852618, 0.30283868, 0.1538816, 0.12594959, 0.030159144]","[0.12735711, 0.11346475, 0.22343624, 0.19303492, 0.025797103]","[0.017013624, 0.1585826, 0.15315904, 0.03325261, 0.11640163]","[0.08109746, 0.17046574, 0.020275917, 0.06442577, 0.060200844]"
서울 마포구 구수동 68-13,"음식점 > 술집 > 호프,요리주점",박연식당,126.932431635426,37.5446945182472,"casual, drinks, nightlife","[' 술집 ', ' 호프,요리주점']","[0.31494403, 0.1876635, 0.24025336]","[0.15254483, 0.15667692, 0.04578554]","[0.12575321, 0.12686093, 0.067495026]","[0.10456642, 0.10628282, 0.10641015]"
서울 마포구 구수동 84-1,음식점 > 한식,료리점,126.93240599165198,37.54427103396588,"authentic, comfort food, fast service",[' 한식'],"[0.18852618, 0.30283868, 0.1538816, 0.12594959, 0.030159144]","[0.12735711, 0.11346475, 0.22343624, 0.19303492, 0.025797103]","[0.017013624, 0.1585826, 0.15315904, 0.03325261, 0.11640163]","[0.08109746, 0.17046574, 0.020275917, 0.06442577, 0.060200844]"
서울 마포구 구수동 68-12,음식점 > 아시아음식 > 동남아음식 > 베트남음식,마포,126.93242929259,37.5447828148204,"exotic, flavorful, spicy","[' 아시아음식 ', ' 동남아음식 ', ' 베트남음식']","[0.23878402, 0.1916009, 0.23361094]","[0.23001745, 0.16088325, 0.18067366]","[0.038818747, 0.034671098, 0.028955176]","[0.071274735, 0.07216534, 0.14915049]"
서울 마포구 구수동 68-12,음식점 > 양식 > 햄버거,마랑,126.932424758984,37.5447909212181,", great value, outdoor seating","[' 양식 ', ' 햄버거']","[0.14853188, 0.0054987967, 0.2247931, 0.299782]","[0.1500135, 0.16450217, 0.0008684322, 0.010771206]","[0.15217099, 0.014076366, 0.1381198, 0.13605465]","[0.18838301, 0.0307622, 0.0041337293, -0.032304913]"
서울 마포구 신정동 28-2,음식점 > 술집 > 칵테일바,바드다드 카페,126.930634805464,37.544581752529,", romantic, great value","[' 술집 ', ' 칵테일바']","[0.35158497, 0.14853188, 0.0054987967]","[0.028207535, 0.1500135, 0.16450217]","[0.06528326, 0.15217099, 0.014076366]","[0.27855042, 0.18838301, 0.0307622]"
서울 마포구 신정동 28-2,"음식점 > 한식 > 찌개,전골",시골밥상두부김치찜,126.930639331738,37.5445817551878,"authentic, comfort food, vegetarian options","[' 한식 ', ' 찌개,전골']","[0.18852618, 0.30283868, 0.1538816, 0.13680255, 0.023920046]","[0.12735711, 0.11346475, 0.22343624, 0.1363306, 0.046348408]","[0.017013624, 0.1585826, 0.15315904, 0.13114232, 0.04468237]","[0.08109746, 0.17046574, 0.020275917, 0.19798598, 0.029084]"
서울 마포구 신수동 380-3,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",사고네연탄불고기,126.93436874785245,37.54485058263396,"authentic, comfort food, vegetarian options","[' 한식 ', ' 육류,고기 ', ' 불고기,두루치기']","[0.18852618, 0.30283868, 0.1538816, 0.13680255, 0.023920046]","[0.12735711, 0.11346475, 0.22343624, 0.1363306, 0.046348408]","[0.017013624, 0.1585826, 0.15315904, 0.13114232, 0.04468237]","[0.08109746, 0.17046574, 0.020275917, 0.19798598, 0.029084]"
서울 마포구 신수동 390,"음식점 > 한식 > 해물,생선 > 아구",국보군산아구찜,126.93445940775683,37.54469746313686,"authentic, comfort food, romantic","[' 한식 ', ' 해물,생선 ', ' 아구']","[0.18852618, 0.30283868, 0.1538816, 0.35158497]","[0.12735711, 0.11346475, 0.22343624, 0.028207535]","[0.017013624, 0.1585826, 0.15315904, 0.06528326]","[0.08109746, 0.17046574, 0.020275917, 0.27855042]"
