address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 서대문구 창천동 20-25,CT1,문화시설,"문화,예술 > 영화,영상 > 영화관 > CGV",,20126041,1544-1122,CGV 신촌아트레온,http://place.map.kakao.com/20126041,서울 서대문구 신촌로 129,126.94024927380556,37.55651712691753
서울 서대문구 창천동 62-11,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,108835601,070-4121-7580,복합문화공간 몽향,http://place.map.kakao.com/108835601,서울 서대문구 연세로5다길 10,126.934996817742,37.5565242630214
서울 마포구 신수동 1-1,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,1502697518,02-705-8114,서강대학교 메리홀 대극장,http://place.map.kakao.com/1502697518,서울 마포구 백범로 35,126.939536435572,37.5521117863308
서울 서대문구 창천동 20-25,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,957772814,1544-6399,예스24 원더로크홀,http://place.map.kakao.com/957772814,서울 서대문구 신촌로 129,126.940306947733,37.5565739189228
서울 서대문구 창천동 13-21,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,743660611,010-8348-8391,극장PLOT,http://place.map.kakao.com/743660611,서울 서대문구 연세로4길 27,126.938198780242,37.557600872152
서울 마포구 노고산동 54-38,CT1,문화시설,"문화,예술 > 문화시설 > 기념관",,12729373,02-325-7216,이한열기념관,http://place.map.kakao.com/12729373,서울 마포구 신촌로12나길 26,126.93387315446894,37.55505771622096
서울 서대문구 창천동 53-83,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,1625893519,,디앤디,http://place.map.kakao.com/1625893519,서울 서대문구 연세로7안길 52,126.934085110501,37.5585455952209
서울 서대문구 창천동 52-23,CT1,문화시설,"문화,예술 > 문화시설 > 전시관",,1691148401,02-336-3368,AC'SCENT(악센트),http://place.map.kakao.com/1691148401,서울 서대문구 연세로9길 16,126.935870985549,37.5586321734384
서울 서대문구 창천동 52-56,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,1492216772,010-4730-1956,201P,http://place.map.kakao.com/1492216772,서울 서대문구 연세로7안길 17,126.935869245537,37.5580212964877
서울 마포구 신수동 1-1,CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",,176886678,02-705-8743,서강대학교메리홀 소극장,http://place.map.kakao.com/176886678,서울 마포구 백범로 35,126.939513790271,37.552126190701
