place_name,category_name,preference,latitude,longitude,address_name
채선당 광흥창점,['shabu-shabu'],1.477891626141288,37.5445456700197,126.930562418509,서울 마포구 신정동 28-2
마미,['korean cuisine'],1.9752583238211547,37.5447954313915,126.932433807492,서울 마포구 구수동 68-12
박연식당,"['a bar', 'hope', 'a restaurant']",1.1590730893340977,37.5446945182472,126.932431635426,서울 마포구 구수동 68-13
료리점,['korean cuisine'],1.9752583238211547,37.54427103396588,126.93240599165198,서울 마포구 구수동 84-1
마포,"['asian food', 'southeast asian food', 'vietnamese food']",1.3630629760975188,37.5447828148204,126.93242929259,서울 마포구 구수동 68-12
마랑,"['form', 'hamburger']",1.2505169356411152,37.5447909212181,126.932424758984,서울 마포구 구수동 68-12
바드다드 카페,"['a bar', 'a cocktail bar']",1.300795085050843,37.544581752529,126.930634805464,서울 마포구 신정동 28-2
시골밥상두부김치찜,"['korean cuisine', 'stew', 'hot pot']",1.9402785865827041,37.5445817551878,126.930639331738,서울 마포구 신정동 28-2
사고네연탄불고기,"['korean cuisine', 'meat', 'meat', 'bulgogi', 'a double whammy']",1.9402785865827041,37.54485058263396,126.93436874785245,서울 마포구 신수동 380-3
국보군산아구찜,"['korean cuisine', 'seafood', 'fish']",1.8825377242131665,37.54469746313686,126.93445940775683,서울 마포구 신수동 390
김밥천국 신수사거리점,['school food'],1.5432981025088914,37.544929714208216,126.93408804803389,서울 마포구 신수동 380-9
응급실국물떡볶이 서울광흥창역점,"['school food', 'stir-fried rice cake']",1.300795085050843,37.5440369864352,126.934379645142,서울 마포구 현석동 47
바위드,['korean cuisine'],1.9236717221953654,37.54484000761059,126.93479649172691,서울 마포구 신수동 387-3
강나루칼국수,"['korean cuisine', 'noodle']",1.9402785865827041,37.5449074120583,126.932884072893,서울 마포구 구수동 41-4
옛맛서울불고기 (2024년 5월 예정),"['korean cuisine', 'meat', 'meat', 'bulgogi', 'a double whammy']",1.8825377242131665,37.54690335317688,126.93171107308716,서울 마포구 창전동 442
화련,"['chinese food', 'chinese cuisine']",1.5432981025088914,37.5461937513285,126.932380492144,서울 마포구 구수동 57-9
네오치킨&펍,[],1.5180953352288766,37.5459051378214,126.931869274561,서울 마포구 창전동 150-15
삼보성,"['chinese food', 'chinese cuisine']",1.3630818474021824,37.545151926552,126.931910696838,서울 마포구 구수동 68-32
이가족발,"['korean cuisine', 'meat', 'meat', 'pig hocks', 'bossam']",2.070282436284152,37.5463808649925,126.9318688416,서울 마포구 창전동 442
샤브향 서울광흥창역점,"['asian food', 'southeast asian food']",1.3630629760975188,37.54581354358349,126.93240459891456,서울 마포구 구수동 60
피자헛 신수점,"['form', 'pizza']",1.2773067439144308,37.5457503562658,126.932199838763,서울 마포구 구수동 57-3
차돌집,"['korean cuisine', 'meat', 'meat']",1.9236717221953654,37.5463595920202,126.932479922791,서울 마포구 구수동 57-7
푸른마음횟집김배달&청해수산,"['korean cuisine', 'seafood', 'fish', 'raw fish']",2.0010301628979765,37.546279987760336,126.931928907933,서울 마포구 창전동 442
뚜레쥬르 구수동점,"['snack', 'confectionery', 'bakery']",1.8089991344646974,37.5452565101871,126.932028285965,서울 마포구 구수동 68-24
연홍떡방,"['snack', 'rice cake', 'korean traditional cookie']",1.5432981025088914,37.546871083764,126.931999661471,서울 마포구 창전동 442
참참치킨 구수점,[],1.5787009030580526,37.5460279287153,126.932312746469,서울 마포구 구수동 57-11
열정국밥,['korean cuisine'],1.9752583238211547,37.5467819754055,126.932157035144,서울 마포구 창전동 442
황금쭈꾸미삼겹살,"['korean cuisine', 'seafood', 'fish']",1.858000022606416,37.5457575668526,126.93220435858,서울 마포구 구수동 57-3
